xbox,ybox,width,high,onpix,xbar,ybar,x2bar,y2bar,xybar,x2ybar,xy2bar,xege,xegvy,yege,yegvx,class
0.0935560539449976,0.3742242157799904,0.1871121078899952,0.2806681618349928,0.0935560539449976,0.3742242157799904,0.1871121078899952,0.1403340809174964,0.0935560539449976,0.3274461888074916,0.0467780269724988,0.3742242157799904,0.1403340809174964,0.3274461888074916,0.0935560539449976,0.3742242157799904,A
0.05643326479831,0.05643326479831,0.1692997943949301,0.11286652959662,0.05643326479831,0.4514661183864802,0.11286652959662,0.11286652959662,0.11286652959662,0.4514661183864802,0.11286652959662,0.4514661183864802,0.05643326479831,0.3385995887898602,0.11286652959662,0.3950328535881702,A
0.2156655464068768,0.3234983196103152,0.2875540618758357,0.2875540618758357,0.2875540618758357,0.2875540618758357,0.2516098041413563,0.1078327732034384,0.1797212886723973,0.2516098041413563,0.2875540618758357,0.2875540618758357,0.2156655464068768,0.2875540618758357,0.1437770309379178,0.1797212886723973,A
0.1953661662911409,0.3907323325822818,0.2735126328075972,0.3125858660658254,0.1953661662911409,0.3125858660658254,0.1172196997746845,0.1172196997746845,0.0390732332582281,0.2735126328075972,0.0390732332582281,0.3125858660658254,0.1953661662911409,0.3516590993240536,0.1953661662911409,0.3125858660658254,A
0.1303116728289208,0.2606233456578416,0.2171861213815347,0.1737488971052277,0.1303116728289208,0.5212466913156832,0.1303116728289208,0.0868744485526138,0.0868744485526138,0.3909350184867624,0.0868744485526138,0.3909350184867624,0.0868744485526138,0.2606233456578416,0.0868744485526138,0.3474977942104555,A
0.125,0.2083333333333333,0.2083333333333333,0.2083333333333333,0.1666666666666666,0.375,0.3333333333333333,0.125,0.1666666666666666,0.25,0.3333333333333333,0.2916666666666667,0.1666666666666666,0.4166666666666667,0.1666666666666666,0.2083333333333333,A
0.1456928793535896,0.1942571724714528,0.242821465589316,0.2913857587071792,0.0971285862357264,0.3885143449429056,0.242821465589316,0.1456928793535896,0.0485642931178632,0.3399500518250424,0.0485642931178632,0.3885143449429056,0.0971285862357264,0.3399500518250424,0.0971285862357264,0.3885143449429056,A
0.2426813358485377,0.5200314339611524,0.1733438113203841,0.2773500981126146,0.1386750490563073,0.3466876226407682,0.1040062867922304,0.1040062867922304,0.0693375245281536,0.2773500981126146,0.1386750490563073,0.381356384904845,0.1733438113203841,0.1733438113203841,0.1386750490563073,0.2773500981126146,A
0.1823843010350213,0.4559607525875532,0.3191725268112872,0.3191725268112872,0.2279803762937766,0.3191725268112872,0.2279803762937766,0.0911921505175106,0.1367882257762659,0.2279803762937766,0.0911921505175106,0.2735764515525319,0.1367882257762659,0.3191725268112872,0.1823843010350213,0.1823843010350213,A
0.1453504749334527,0.3876012664892073,0.2907009498669055,0.2907009498669055,0.1938006332446036,0.3876012664892073,0.2422507915557546,0.0969003166223018,0.1938006332446036,0.2907009498669055,0.0969003166223018,0.2907009498669055,0.0969003166223018,0.2907009498669055,0.0969003166223018,0.2907009498669055,A
