sepall,sepalw,petall,petalw,class
0.8037727730153805,0.5516087657948691,0.2206435063179476,0.0315205009025639,Iris-setosa
0.8281328733868766,0.5070201265633938,0.2366093923962504,0.0338013417708929,Iris-setosa
0.8053330753805038,0.5483118811101303,0.2227517017009904,0.0342694925693831,Iris-setosa
0.8000302474620596,0.5391508189418229,0.2608794285202369,0.0347839238026982,Iris-setosa
0.7909649964604158,0.5694947974514994,0.2214701990089164,0.0316385998584166,Iris-setosa
0.7841749862818121,0.5663486012035309,0.2468699030887186,0.0580870360208749,Iris-setosa
0.7801093556963544,0.5766025672538272,0.2374245865162817,0.0508766971106318,Iris-setosa
0.8021849185198158,0.5454857445934748,0.2406554755559447,0.0320873967407926,Iris-setosa
0.8064236561517831,0.5315065006454933,0.2565893451392037,0.0366556207341719,Iris-setosa
0.8180311900353678,0.5175299365529878,0.2504177112353167,0.0166945140823544,Iris-setosa
0.8037351880735529,0.550707443680027,0.2232597744648758,0.0297679699286501,Iris-setosa
0.7869910029407435,0.55745196041636,0.2623303343135812,0.0327912917891976,Iris-setosa
0.8230721775566244,0.5144201109728903,0.2400627184540154,0.0171473370324296,Iris-setosa
0.8025125990367244,0.5598925109558542,0.2052939206838132,0.0186630836985284,Iris-setosa
0.8112086463534661,0.5594542388644593,0.1678362716593378,0.0279727119432229,Iris-setosa
0.773811110254379,0.5973278745823276,0.2036345026985207,0.0543025340529388,Iris-setosa
0.7942894410353187,0.5736534851921746,0.1912178283973915,0.058836254891505,Iris-setosa
0.8032741236882647,0.5512665554723385,0.2205066221889353,0.0472514190404861,Iris-setosa
0.8068282029952023,0.5378854686634681,0.2406329728231304,0.0424646422629053,Iris-setosa
0.7796488324493954,0.5809148163348437,0.2293084801321751,0.045861696026435,Iris-setosa
0.8173378965356997,0.5146201570780331,0.2573100785390165,0.0302717739457666,Iris-setosa
0.7859185787017703,0.5701762237640295,0.2311525231475795,0.0616406728393545,Iris-setosa
0.7757707459581176,0.6071249316193964,0.1686458143387212,0.0337291628677442,Iris-setosa
